x, y, z
486, 523, 717

486, 523, 717

486, 523, 717

483, 527, 716

483, 527, 716

489, 526, 713

489, 526, 713

485, 523, 713

485, 523, 713

484, 525, 713

484, 525, 713

485, 525, 715

485, 525, 715

487, 524, 716

487, 524, 716

482, 523, 714

482, 523, 714

488, 526, 713

488, 526, 713

485, 524, 714

485, 524, 714

484, 526, 714

484, 526, 714

486, 524, 715

486, 524, 715

483, 524, 712

483, 524, 712

487, 525, 718

487, 525, 718

485, 525, 715

485, 525, 715

485, 525, 715

483, 523, 709

483, 523, 709

483, 523, 709

482, 525, 711

482, 525, 711

482, 525, 711

489, 525, 717

489, 525, 717

489, 525, 717

478, 524, 714

478, 524, 714

478, 524, 714

490, 526, 715

490, 526, 715

490, 526, 715

485, 526, 714

485, 526, 714

486, 525, 710

486, 525, 710

484, 525, 713

484, 525, 713

487, 526, 714

487, 526, 714

485, 526, 712

485, 526, 712

480, 527, 711

480, 527, 711

487, 529, 713

487, 529, 713

492, 528, 717

492, 528, 717

480, 527, 718

480, 527, 718

491, 525, 715

491, 525, 715

487, 534, 715

487, 534, 715

491, 523, 712

491, 523, 712

481, 529, 713

481, 529, 713

492, 528, 711

492, 528, 711

487, 526, 711

487, 526, 711

487, 526, 711

480, 527, 709

480, 527, 709

480, 527, 709

485, 527, 712

485, 527, 712

485, 527, 712

499, 533, 731

499, 533, 731

499, 533, 731

480, 528, 710

480, 528, 710

480, 528, 710

488, 528, 715

488, 528, 715

490, 530, 720

490, 530, 720

487, 524, 710

487, 524, 710

489, 527, 712

489, 527, 712

479, 532, 715

479, 532, 715

477, 531, 717

477, 531, 717

485, 528, 715

485, 528, 715

484, 528, 712

484, 528, 712

493, 526, 713

493, 526, 713

486, 529, 715

486, 529, 715

486, 529, 714

486, 529, 714

492, 529, 716

492, 529, 716

490, 527, 713

490, 527, 713

491, 527, 714

491, 527, 714

491, 527, 714

491, 527, 714

491, 527, 714

490, 527, 712

490, 527, 712

490, 527, 712

488, 528, 713

488, 528, 713

493, 525, 715

493, 525, 715

